CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,MBER_CO,FOND_DE
74산악회,세종특별자치시,세종특별자치시 세종특별자치시,산악,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20221028
88탁구클럽,경상북도,경상북도 경주시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,20200812
88테니스클럽,광주광역시,광주광역시 북구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20220628
902 SQUASH,울산광역시,울산광역시 울주군,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20201113
902 스쿼시,울산광역시,울산광역시 울주군,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,25,20220628
A+,광주광역시,광주광역시 광산구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,9,20220418
A-JAX,부산광역시,부산광역시 해운대구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,19,20220329
A-JAX(에이젝스),부산광역시,부산광역시 전체,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,41,20210315
A-TEMPO,충청북도,충청북도 청주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,9,20200103
A-TOWN,경상북도,경상북도 안동시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,16,20210622
A-TOWN,경상북도,경상북도 안동시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,3,20220628
A-one,경상남도,경상남도 김해시,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,9,20230313
A-템포,충청북도,충청북도 청주시흥덕구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,17,20220520
A.T.C,서울특별시,서울특별시 강서구,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,44,20190326
ACE,울산광역시,울산광역시 북구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,10,20220926
ACE LIBERO,인천광역시,인천광역시 미추홀구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,6,20211101
ACE 에이스클럽,광주광역시,광주광역시 서구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20220930
ACE 요트 클럽,경상남도,경상남도 통영시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210910
AFC,경기도,경기도 안양시만안구,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,3,20220914
AJAX,전라북도,전라북도 익산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,21,20200103
AJC,충청북도,충청북도 청주시청원구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,28,20220317
AJC,충청북도,충청북도 청주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,67,20191228
ALT,충청남도,충청남도 아산시,역도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,4,20230427
ANKH,대전광역시,대전광역시 동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,8,20230407
"AOST(ALL OUT SWIM TEAM, 올 아웃 스윔 팀)",광주광역시,광주광역시 남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,12,20200130
"AOST(ALLOUT SWIM TEAM, 올 아웃 스윔 팀)",광주광역시,광주광역시 북구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,17,20220608
APEX,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,10,20230227
APROMAN,서울특별시,서울특별시 노원구,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20220414
AQUA swim,제주특별자치도,제주특별자치도 서귀포시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,9,20220809
ASD(안동수영의달인),경상북도,경상북도 안동시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20211130
ASSIST,충청북도,충청북도 청주시흥덕구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,11,20220317
ASSIST,충청북도,충청북도 청주시 흥덕구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,11,20200106
ASTROHIGH,서울특별시,서울특별시 강동구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,39,20230317
ASTROHIGH SEOUL,서울특별시,서울특별시 중구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,28,20230417
ATP,경기도,경기도 안양시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200221
AUS,경기도,경기도 화성시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,11,20221028
AVENGERS,경상남도,경상남도 창원시성산구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20221028
AWESOME,제주특별자치도,제주특별자치도 제주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,10,20220607
AWESOME,전라북도,전라북도 전주시완산구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,14,20220331
AXIOM 펜싱 랩,서울특별시,서울특별시 성동구,펜싱,공공스포츠클럽,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,13,20201026
AXIOM 펜싱 랩,서울특별시,서울특별시 성동구,펜싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,7,20220617
Ahtty Fild Hockey Club (아띠 필드 하키 클럽),경기도,경기도 성남시,하키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,34,20210202
Aim,서울특별시,서울특별시 강서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,10,20200102
Alex스키,경기도,경기도 김포시,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,2,20230210
Always Volleyball Club(A.V.C),경기도,경기도 수원시권선구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,14,20220622
Ami-Swim,광주광역시,광주광역시 서구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,3,20230511
AnE,강원도,강원도 전체,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20200205
ArtWheels,서울특별시,서울특별시 전체,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200922
Assemble,서울특별시,서울특별시 성북구,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20221012
Ausome,세종특별자치시,세종특별자치시 전체,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,7,20201106
Awesome,전라북도,전라북도 전주시 덕진구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,24,20200128
B.R.O.S,전라북도,전라북도 익산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,20200103
B.S.T,울산광역시,울산광역시 동구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,7,20211126
B.T.Y,서울특별시,서울특별시 전체,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200928
B05,제주특별자치도,제주특별자치도 제주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,4,20220401
B2L 비투엘,울산광역시,울산광역시 남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,9,20220413
BBAK,경기도,경기도 용인시수지구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,11,20220413
BB주짓수클럽,광주광역시,광주광역시 남구,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20201204
BEAST ALL STAR CHEERLEADING,서울특별시,서울특별시 서초구,치어리딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,21,20200714
BEST LIBERO,인천광역시,인천광역시 미추홀구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,5,20211101
BF,경상북도,경상북도 안동시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,5,20220405
BIG BANG,경기도,경기도 수원시팔달구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20230302
BIGS,제주특별자치도,제주특별자치도 서귀포시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,24,20230309
BILLOW,부산광역시,부산광역시 동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,21,20220314
BILLOW,부산광역시,부산광역시 북구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,15,20211022
BK,대전광역시,대전광역시 유성구,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,6,20230513
BKDAC,강원도,강원도 원주시,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,9,20200618
BK비스트GYM,경상남도,경상남도 김해시,킥복싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210117
BLC,전라북도,전라북도 전주시완산구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,14,20220321
BLC,전라북도,전라북도 전주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,22,20200125
BLC댄스스포츠,울산광역시,울산광역시 북구,댄스스포츠,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20220825
BONT,부산광역시,부산광역시 사상구,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,3,20220823
BONT,대구광역시,대구광역시 수성구,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20190415
BPL,광주광역시,광주광역시 서구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,6,20220707
BROCKEN(브로켄),대구광역시,대구광역시 수성구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,10,20210311
BROTHERLY,대구광역시,대구광역시 동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,14,20220418
BROTHERLY(형제애),대구광역시,대구광역시 동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210414
BR뇌교육북구지점,울산광역시,울산광역시 북구,국학기공,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,20,20221226
BSC,강원도,강원도 평창군,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20200128
BSC,강원도,강원도 동해시,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,12,20230210
BST,울산광역시,울산광역시 동구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,2,20220624
BTK,광주광역시,광주광역시 남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,13,20201102
BTS,서울특별시,서울특별시 송파구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20191015
BTS 레이싱팀,서울특별시,서울특별시 전체,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20190726
BTS전주,전라북도,전라북도 전체,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,20200117
BT`S 전주,전라북도,전라북도 전주시완산구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,7,20220328
BURN,세종특별자치시,세종특별자치시 세종특별자치시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,22,20220516
BUST,서울특별시,서울특별시 동대문구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,18,20220406
Big bear club,경기도,경기도 의정부시,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,18,20220502
Bijou_fg,경기도,경기도 양천구,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,7,20220810
Black Eagles Allstar Cheerleading,서울특별시,서울특별시 마포구,치어리딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,43,20200102
Blue line,전라북도,전라북도 부안군,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20211115
Blue monster,충청남도,충청남도 서산시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20230201
Bok Duck,서울특별시,서울특별시 동대문구,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,2,20230217
BowlAimong,충청남도,충청남도 태안군,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20200701
