,FCLTY_NM,INDUTY_NM,ROAD_NM_SIGNGU_NM,FCLTY_LA,FCLTY_LO
15295,석촌마을아파트,간이운동장,동구,36.3117696265,127.45480709
15296,선단동체육센터,체육관,포천시,37.8621838003,127.1550650731
15297,선단동풋살구장,간이운동장,포천시,37.8607912354,127.1561985409
15298,선도게이트볼장,간이운동장,경주시,35.8562220628394,129.2247818137997
15299,선비어린이공원,간이운동장,남구,37.441511,126.675605
15300,선사유적산책로,간이운동장,부천시,37.5244063101,126.8184502242
15301,선암인공암벽장,기타시설,남구,35.5168993527,129.3224891914
15302,선유동체육시설,간이운동장,고양시 덕양구,37.6744255466,126.9099517341
15303,선재게이트볼장,전천후게이트볼장,옹진군,37.2444144097,126.526309169
15304,선학파크골프장,골프연습장,연수구,37.430555969594806,126.7022530582094
15305,선학하키경기장,하키장,연수구,37.430886457,126.7018224056
15306,설악어린이공원,간이운동장,부천시,37.5086493786,126.7706731889
15307,설천게이트볼장,전천후게이트볼장,남해군,34.9228454869,127.9155095426
15308,성건어린이공원,간이운동장,경주시,35.8537154628364,129.204213863806
15309,성곡어린이공원,간이운동장,부천시,37.5177067393,126.8162991502
15311,성남종합운동장,육상경기장,성남시,37.4326199743,127.138021797
15312,성남종합운동장,육상경기장,성남시,37.4326199743,127.138021797
15313,성내게이트볼장,전천후게이트볼장,고창군,35.5457619841,126.7394252347
15314,성동게이트볼장,간이운동장,무안군,34.988273,126.48094
15315,성두산근린공원,간이운동장,유성구,36.3724498393,127.3718023247
15316,성메어린이공원,간이운동장,마포구,37.5681126502,126.914806791
15319,성사배드민턴장,체육관,고양시 덕양구,37.6627589803,126.8437231978
15320,성산게이트볼장,전천후게이트볼장,고령군,35.7471131025,128.3614348048
15321,성산게이트볼장,전천후게이트볼장,여수시,34.7714532989,127.6419308922
15323,성송게이트볼장,전천후게이트볼장,고창군,35.3641344829,126.6451094693
15324,성아공원풋살장,기타시설,고양시,37.67829731445692,126.7893142958962
15325,성암다목적구장,축구장,남구,35.4766741795579,129.35671535507544
15326,성암생활체육관,체육관,경산시,35.8174850775211,128.727549251061
15327,성연게이트볼장,전천후게이트볼장,서산시,36.8437914346,126.4672454334
15328,성저파크골프장,간이운동장,고양시 일산서구,37.676421695,126.7430655661
15329,성전게이트볼장,전천후게이트볼장,강진군,34.6920610618,126.7096289977
15330,성주산체육공원,간이운동장,부천시,37.4731552103,126.7890775194
15331,성주어린이공원,간이운동장,부천시,37.4781289958,126.7698846473
15332,성포생활체육관,체육관,안산시 상록구,37.3269596284,126.8480183499
15334,세일어린이공원,간이운동장,수원시 장안구,37.310013,126.990727
15335,세종시민체육관,체육관,세종시,36.5951893081,127.2843763451
15336,세지게이트볼장,전천후게이트볼장,나주시,34.91531266291945,126.7439983668022
15337,세천강변야구장,야구장,달성군,35.8801777783,128.462024853
15338,세천리틀야구장,야구장,달성군,35.8728529502,128.462337553
15340,소도동체육시설,간이운동장,태백시,37.130853,128.958911
15341,소라실근린공원,간이운동장,유성구,36.3869969372,127.3118280539
15342,소리어린이공원,간이운동장,오산시,37.177471,127.044119
15343,소망공원야구장,야구장,시흥시,37.3334391915,126.725633394
15344,소망어린이공원,간이운동장,서구,35.143783,126.8587
15345,소망어린이공원,간이운동장,부천시,37.4920664488,126.76293965
15346,소망어린이공원,간이운동장,도봉구,37.663442,127.036959
15347,소사동센터뒷산,간이운동장,부천시,37.4872072803,126.7951980792
15348,소성어린이공원,간이운동장,남구,37.439229,126.684724
15349,소안어린이공원,간이운동장,부천시,37.4756543754,126.8003531592
15350,소요생활체육관,체육관,동두천시,37.94596605248729,127.05732854791434
15351,소원게이트볼장,전천후게이트볼장,태안군,36.7583530653223,126.194330158394
15352,소원어린이공원,간이운동장,부천시,37.4849037504,126.7969636848
15354,소일어린이공원,간이운동장,부천시,37.4688159852,126.8037400121
15355,소재리체육시설,간이운동장,구미시,36.232948,128.239356
15356,소정어린이공원,간이운동장,수원시 장안구,37.30585,126.999183
15357,소중어린이공원,간이운동장,부천시,37.4697878063,126.7945130884
15358,소청리테니스장,테니스장,옹진군,37.7737760297,124.7508603908
15359,소태동통일동산,간이운동장,동구,35.128056,126.935286
15360,소포게이트볼장,전천후게이트볼장,진도군,34.4831451034216,126.204293663996
15361,속들어린이공원,간이운동장,유성구,36.3682553222,127.3216570809
15363,손불게이트볼장,전천후게이트볼장,함평군,35.1415722408,126.4305746355
15364,솔밭어린이공원,간이운동장,달서구,35.8292592074,128.553605603
15365,솔올게이트볼장,간이운동장,강릉시,37.767385,128.881206
15366,송강게이트볼장,전천후게이트볼장,유성구,36.4342623348,127.3866707869
15367,송강공영주차장,간이운동장,유성구,36.4342623348,127.3866707869
15368,송강어린이공원,간이운동장,유성구,36.4333217834,127.3854750674
15369,송광게이트볼장,전천후게이트볼장,순천시,34.9726792472,127.2633986566
