CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,Latitude,Longitude
The 쎈,전라남도,전라남도 목포시      ,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,34.7903335,126.3847547
화순 MAX,전라남도,전라남도 화순군,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.0643095,126.9864311
(Dream of judo)영동유도관,충청북도,충청북도 영동군,유도,체육동호인조직,"13세이하부,16세이하부,19세이하부,실업(일반)",혼성,36.1747588,127.7834432
(사)대한산악스키협회,서울특별시,서울특별시       송파구,산악,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5145,127.1058
(사)영일만공공스포츠클럽,경상북도,경상북도 포항시      북구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.0434851,129.3686129
(사)창원요트클럽,경상남도,경상남도 창원시      ,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.227956,128.6818586
(원주)음파음파,강원도,강원도 원주시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.3420996,127.9197603
(주)알파카패밀리,인천광역시,인천광역시       서구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.545,126.676
0.1 희망나눔홍보배구단,충청북도,충청북도 충주시      ,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.9907334,127.9259891
119테니스,대전광역시,대전광역시       서구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.298311,127.3520156
1919,대구광역시,대구광역시       동구,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.8865,128.6355
1rm(한국체육대학교 원알엠),서울특별시,서울특별시       송파구,역도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5145,127.1058
1to3,서울특별시,서울특별시       강서구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5509,126.8497
2000클럽,제주특별자치도,제주특별자치도 제주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,33.4930566,126.5130589
2001,부산광역시,부산광역시       동래구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2052,129.0837
2020 레드회,전라북도,전라북도 전주시      완산구,골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.8122,127.1197
21C,인천광역시,인천광역시       서구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.545,126.676
2X,서울특별시,서울특별시       용산구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.5323,126.99
2X,서울특별시,서울특별시       성동구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5635,127.0365
2ndWind,서울특별시,서울특별시       강서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5509,126.8497
300,전라북도,전라북도 남원시      ,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.4163118,127.3903713
36173,경기도,경기도 안양시      동안구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.3923137,126.9513089
3POINT,강원도,강원도 원주시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.3420996,127.9197603
4060,경기도,경기도 안산시      상록구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.3007,126.8465
4TP,서울특별시,서울특별시       서초구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4835,127.0322
5080,전라북도,전라북도 정읍시      ,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.5697678,126.8559787
511 GYM,인천광역시,인천광역시       미추홀구,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4636,126.6502
560클럽,경상북도,경상북도 김천시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.1398035,128.1139534
573스위밍풀,광주광역시,광주광역시       서구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1521401,126.8900561
6남매,경기도,경기도 남양주시      ,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.6359398,127.2165051
74산악회,세종특별자치시,세종특별자치시       세종특별자치시      ,산악,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.57261445,127.28329173053703
88테니스클럽,광주광역시,광주광역시       북구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1741,126.9122
902 SQUASH,울산광역시,울산광역시       울주군,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.5222362,129.2423693
902 스쿼시,울산광역시,울산광역시       울주군,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.5222362,129.2423693
A+,광주광역시,광주광역시       광산구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1396428,126.7938232
A-JAX,부산광역시,부산광역시       해운대구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1629,129.1638
A-JAX(에이젝스),부산광역시,부산광역시       ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1799528,129.0752365
A-TEMPO,충청북도,충청북도 청주시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.6421169,127.4891742
A-TOWN,경상북도,경상북도 안동시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.5634886,128.7260798
A-TOWN,경상북도,경상북도 안동시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.5634886,128.7260798
A-one,경상남도,경상남도 김해시      ,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2310947,128.8908228
A-템포,충청북도,충청북도 청주시      흥덕구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.642972400000005,127.37826698262683
ACE,울산광역시,울산광역시       북구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.5826,129.3604
ACE 에이스클럽,광주광역시,광주광역시       서구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1521401,126.8900561
ACE 요트 클럽,경상남도,경상남도 통영시      ,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,34.854254,128.433205
AFC,경기도,경기도 안양시      만안구,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.3863,126.9324
AJC,충청북도,충청북도 청주시      청원구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.6515,127.4867
ALT,충청남도,충청남도 아산시      ,역도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.7899498,127.0026769
ANKH,대전광역시,대전광역시       동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.3120051,127.4554285
"AOST(ALL OUT SWIM TEAM, 올 아웃 스윔 팀)",광주광역시,광주광역시       남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1327,126.9025
"AOST(ALLOUT SWIM TEAM, 올 아웃 스윔 팀)",광주광역시,광주광역시       북구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1741,126.9122
APEX,제주특별자치도,제주특별자치도 제주시      ,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,33.4930566,126.5130589
APROMAN,서울특별시,서울특별시       노원구,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.654,127.0567
AQUA swim,제주특별자치도,제주특별자치도 서귀포시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,33.2572971,126.515299
ASD(안동수영의달인),경상북도,경상북도 안동시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.5634886,128.7260798
ASSIST,충청북도,충청북도 청주시      흥덕구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.642972400000005,127.37826698262683
ASTROHIGH,서울특별시,서울특별시       강동구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.53,127.1237
ASTROHIGH SEOUL,서울특별시,서울특별시       중구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5636559,126.9975097
ATP,경기도,경기도 안양시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.3938528,126.9570605
AUS,경기도,경기도 화성시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.1994653,126.8312632
AVENGERS,경상남도,경상남도 창원시      성산구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1983,128.7027
AWESOME,제주특별자치도,제주특별자치도 제주시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,33.4930566,126.5130589
AWESOME,전라북도,전라북도 전주시      완산구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.8122,127.1197
AXIOM 펜싱 랩,서울특별시,서울특별시       성동구,펜싱,공공스포츠클럽,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.5635,127.0365
AXIOM 펜싱 랩,서울특별시,서울특별시       성동구,펜싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5635,127.0365
Ahtty Fild Hockey Club (아띠 필드 하키 클럽),경기도,경기도 성남시      ,하키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.4201556,127.1262092
Alex스키,경기도,경기도 김포시      ,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.6155683,126.7157798
Always Volleyball Club(A.V.C),경기도,경기도 수원시      권선구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.2567361,126.9719715
Ami-Swim,광주광역시,광주광역시       서구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1521401,126.8900561
AnE,강원도,강원도 ,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.88539,127.5146547
ArtWheels,서울특별시,서울특별시       ,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.5666791,126.9782914
Assemble,서울특별시,서울특별시       성북구,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.59,127.0165
Awesome,전라북도,전라북도 전주시       덕진구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.8294,127.1342
B.R.O.S,전라북도,전라북도 익산시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.9479291,126.9578025
B.S.T,울산광역시,울산광역시       동구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.5046663,129.4170114
B.T.Y,서울특별시,서울특별시       ,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.5666791,126.9782914
B05,제주특별자치도,제주특별자치도 제주시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,33.4930566,126.5130589
B2L 비투엘,울산광역시,울산광역시       남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.4984869,129.34593623469863
BBAK,경기도,경기도 용인시      수지구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.3222928,127.0972114
BB주짓수클럽,광주광역시,광주광역시       남구,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1327,126.9025
BEAST ALL STAR CHEERLEADING,서울특별시,서울특별시       서초구,치어리딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.4835,127.0322
BF,경상북도,경상북도 안동시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.5634886,128.7260798
BIG BANG,경기도,경기도 수원시      팔달구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.274994050000004,127.01614184294945
BIGS,제주특별자치도,제주특별자치도 서귀포시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,33.2572971,126.515299
BILLOW,부산광역시,부산광역시       동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.129,129.0455
BK,대전광역시,대전광역시       유성구,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.3620732,127.3564099
BLC,전라북도,전라북도 전주시      완산구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.8122,127.1197
BLC,전라북도,전라북도 전주시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.8237631,127.1472805
BLC댄스스포츠,울산광역시,울산광역시       북구,댄스스포츠,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.5826,129.3604
BONT,부산광역시,부산광역시       사상구,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1521,128.9911
BPL,광주광역시,광주광역시       서구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1521401,126.8900561
BROTHERLY,대구광역시,대구광역시       동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.8865,128.6355
BROTHERLY(형제애),대구광역시,대구광역시       동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.8865,128.6355
BR뇌교육북구지점,울산광역시,울산광역시       북구,국학기공,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.5826,129.3604
BSC,강원도,강원도 평창군,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.3705,128.3903
BSC,강원도,강원도 동해시      ,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5245142,129.1146302
BST,울산광역시,울산광역시       동구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.5046663,129.4170114
BTK,광주광역시,광주광역시       남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1327,126.9025
BTS,서울특별시,서울특별시       송파구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.5145,127.1058
BTS전주,전라북도,전라북도 ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.8198999,127.109
BT`S 전주,전라북도,전라북도 전주시      완산구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.8122,127.1197
BURN,세종특별자치시,세종특별자치시       세종특별자치시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.57261445,127.28329173053703
BUST,서울특별시,서울특별시       동대문구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5741982,127.0395092
Big bear club,경기도,경기도 의정부시      ,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.7381078,127.033929
Bijou_fg,경기도,서울특별시   양천구,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5171,126.8663
Black Eagles Allstar Cheerleading,서울특별시,서울특별시       마포구,치어리딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.566571,126.9015317
Blue line,전라북도,전라북도 부안군,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.7316783,126.7330195
Blue monster,충청남도,충청남도 서산시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.784499,126.450317
Bok Duck,서울특별시,서울특별시       동대문구,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5741982,127.0395092
BowlAimong,충청남도,충청남도 태안군,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.7454236,126.29836
Boxydragons,충청남도,충청남도 천안시       서북구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.8783935,127.1552727
Boxydragons,충청남도,충청남도 천안시      서북구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.8783935,127.1552727
Bros,전라북도,전라북도 익산시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.9479291,126.9578025
C DA C,경상남도,경상남도 의령군,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.322003,128.2617827
C.T.U,경기도,경기도 화성시      ,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.1994653,126.8312632
CAAS(카아스),충청남도,충청남도 아산시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.7899498,127.0026769
CAZA,경기도,경기도 동두천시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.9030856,127.0605175
CENTRAL,경기도,경기도 화성시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.1994653,126.8312632
CH,대전광역시,대전광역시       서구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.298311,127.3520156
CHASERS,대전광역시,대전광역시       대덕구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.3465766,127.4158483
CHEONGSA(청사),제주특별자치도,제주특별자치도 제주시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,33.4930566,126.5130589
CHLLY,서울특별시,서울특별시       노원구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.654,127.0567
CK,경기도,경기도 김포시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.6155683,126.7157798
CK,경기도,경기도 김포시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.6155683,126.7157798
CLEANSHOT BASKETBALL CLUB,부산광역시,부산광역시       금정구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2429,129.0926
CLEANSHOT BASKETBALL CLUB,부산광역시,부산광역시       ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1799528,129.0752365
CMH인라인클럽,경기도,경기도 군포시      ,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.3615229,126.9349025
CMH인라인클럽,경기도,경기도 군포시      ,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.3615229,126.9349025
COOL,광주광역시,광주광역시       서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1521401,126.8900561
CORE,울산광역시,울산광역시       남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.4984869,129.34593623469863
CRANK,전라북도,전라북도 군산시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.9679984,126.7369036
CRAZY,경기도,경기도 오산시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.1499376,127.0774625
CREED,서울특별시,서울특별시       양천구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5171,126.8663
CROSS,경상북도,경상북도 포항시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.0189315,129.3429384
CROSS,경상북도,경상북도 포항시      북구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.0434851,129.3686129
CROSSOVER,광주광역시,광주광역시       북구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1741,126.9122
CS CLUB,충청북도,충청북도 청주시      ,스쿼시,공공스포츠클럽,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.6421169,127.4891742
CSC 볼링 아카데미,서울특별시,서울특별시       강남구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5177,127.0473
CSCK,경기도,경기도 남양주시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.6359398,127.2165051
CSC스위밍 아카데미,강원도,강원도 동해시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5245142,129.1146302
CSIS국제학교,경기도,경기도 용인시      수지구,펜싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.3222928,127.0972114
CST,대전광역시,대전광역시       대덕구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.3465766,127.4158483
CTU(S),서울특별시,서울특별시       송파구,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5145,127.1058
CYswim,충청남도,충청남도 청양군,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.4587024,126.8019983
Cali Swim,서울특별시,서울특별시       송파구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5145,127.1058
Clear,광주광역시,광주광역시       서구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1521401,126.8900561
Club W,경기도,경기도 고양시      일산서구,카누,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.6779933,126.7453605
Cornell University,서울특별시,서울특별시       강남구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.5177,127.0473
CrossOver,서울특별시,서울특별시       송파구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5145,127.1058
D.I.S,광주광역시,광주광역시       북구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1741,126.9122
D.R F,서울특별시,서울특별시       구로구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4951999,126.8877
D.S.L,강원도,강원도 인제군,체조,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,38.0694,128.1706
DB,경기도,경기도 오산시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.1499376,127.0774625
DBL,충청북도,충청북도 단양군,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.9848,128.3659
DC 수경갤,서울특별시,서울특별시       강남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5177,127.0473
DDD,부산광역시,부산광역시       기장군,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2447818,129.2215462
DD댄스,전라북도,전라북도 순창군,체조,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.3741,127.1374
DFL,경기도,경기도 과천시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4289037,126.9881655
DGIST,대구광역시,대구광역시       달성군,조정,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.7753,128.4312
DGZ,서울특별시,서울특별시       마포구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.566571,126.9015317
DJK,대전광역시,대전광역시       유성구,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.3620732,127.3564099
DJMB클럽,대전광역시,대전광역시       대덕구,펜싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.3465766,127.4158483
DKS,전라북도,전라북도 전주시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.8237631,127.1472805
DKS,전라북도,전라북도 전주시      덕진구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.8294,127.1342
DMZ,광주광역시,광주광역시       남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1327,126.9025
DN휘트니스,인천광역시,인천광역시       남동구,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.446902,126.7315126
DOSS,경기도,경기도 성남시      분당구,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.3825999,127.1188
DRAFT,서울특별시,서울특별시       송파구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5145,127.1058
DRESSEL,서울특별시,서울특별시       송파구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.5145,127.1058
DSA,부산광역시,부산광역시       북구,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1969,128.9901999
DoNgs Skate Team,경기도,경기도 안양시      ,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.3938528,126.9570605
Dok.4,울산광역시,울산광역시       남구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.4984869,129.34593623469863
Dongjak Swimming Club,서울특별시,서울특별시       동작구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.5120999,126.9395
Dream,대구광역시,대구광역시       달성군,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.7753,128.4312
Drunken Penguins,광주광역시,광주광역시       동구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1462,126.9229
EAST,울산광역시,울산광역시       동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.5046663,129.4170114
