CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,Latitude,Longitude
고흥군바둑협회,전라남도,전라남도 고흥군,바둑,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.6044123,127.276384
고흥동강클럽,전라남도,전라남도 고흥군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.6044123,127.276384
고흥봉황클럽,전라남도,전라남도 고흥군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.6044123,127.276384
고흥송산클럽,전라남도,전라남도 고흥군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.6044123,127.276384
고흥어울림클럽,전라남도,전라남도 고흥군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.6044123,127.276384
고흥우주클럽,전라남도,전라남도 고흥군,씨름,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,34.6044123,127.276384
고흥우주클럽,전라남도,전라남도 고흥군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.6044123,127.276384
고흥청록클럽,전라남도,전라남도 고흥군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.6044123,127.276384
고흥하나클럽,전라남도,전라남도 고흥군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,34.6044123,127.276384
곡성고달천마클럽,전라남도,전라남도 곡성군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2818969,127.2914673
곡성군게이트볼협회,전라남도,전라남도 곡성군,게이트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2818969,127.2914673
곡성군바둑협회,전라남도,전라남도 곡성군,바둑,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2818969,127.2914673
곡성군소프트테니스협회,전라남도,전라남도 곡성군,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2818969,127.2914673
곡성목사동클럽,전라남도,전라남도 곡성군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2818969,127.2914673
곡성삼기클럽,전라남도,전라남도 곡성군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2818969,127.2914673
곡성석곡클럽,전라남도,전라남도 곡성군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2818969,127.2914673
곡성스포츠클럽,전라남도,전라남도 곡성군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2818969,127.2914673
곡성심청클럽,전라남도,전라남도 곡성군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2818969,127.2914673
곡성옥과클럽,전라남도,전라남도 곡성군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2818969,127.2914673
곡성입면클럽,전라남도,전라남도 곡성군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2818969,127.2914673
곡성테니스클럽,전라남도,전라남도 곡성군,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.2818969,127.2914673
곤마스터짐클럽,서울특별시,서울특별시       노원구,합기도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.654,127.0567
골드스타,전라북도,전라북도 전주시      완산구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.8122,127.1197
골드핀 볼링클럽,전라북도,전라북도 전주시      덕진구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.8294,127.1342
골드필,부산광역시,부산광역시       해운대구,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1629,129.1638
골드핑거,충청남도,충청남도 서산시      ,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.784499,126.450317
골벌배드민턴클럽,경상북도,경상북도 영천시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.98842,128.942
곰돌이 동호회,인천광역시,인천광역시       미추홀구,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4636,126.6502
공릉유도스쿨,서울특별시,서울특별시       노원구,유도,체육동호인조직,"13세이하부,16세이하부,19세이하부,실업(일반)",혼성,37.654,127.0567
공릉클럽,서울특별시,서울특별시       노원구,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.654,127.0567
공명유도관(김제점),전라북도,전라북도 김제시      ,유도,체육동호인조직,"13세이하부,16세이하부,19세이하부,실업(일반)",혼성,35.803815,126.880557
공명유도관(전주대점),전라북도,전라북도 전주시      완산구,유도,체육동호인조직,"13세이하부,16세이하부,19세이하부,실업(일반)",혼성,35.8122,127.1197
공병원팀,서울특별시,서울특별시       성북구,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.59,127.0165
